audience_id,audience_name,audience_type
c_12m,Affordable Takeout Options,First Party
c_12n,Chill Burger - Competitors,First Party
c_2fE,Chill Burger - Interest,First Party
c_2fF,Family Meal Planning,First Party
c_3yI,Fast Food Keywords,First Party
c_5Dc,Food Delivery (General),First Party
c_5N1,Food Delivery (Specific),First Party
c_aej,Food Pickup,First Party
c_cho,Foodies,First Party
c_chq,Looking for New Restaurant,First Party
c_ckd,New Recipes,First Party
c_ckf,Quick Meal Ideas,First Party
c_ckg,Quick Meal Pickup,First Party
c_cl0,Takeout Options,First Party
c_cla,Weekly Meal Prep Ideas,First Party
c_3LU,Weekly Balanced Workouts (Indoor and Outdoor),First Party
c_al6,Full Body Workouts,First Party
c_alH,Tennis,First Party
c_alI,Basketball,First Party
c_alO,Fashion (General),First Party
c_alQ,Fashion > Shopping > Womens ,First Party
c_alR,Shopping (Sports Related),First Party
c_alS,Dieting and Weight Loss,First Party
c_alv,Dance Class,First Party
c_alX,Sport Enthusiasts ,First Party
c_alz,Golf Enthusiasts ,First Party
c_cuW,Hatha Yoga,First Party
c_cv1,Weight Training,First Party
c_cv2,Workout Equipment ,First Party
c_cv3,Fashion > Workout Wear,First Party
c_cv8,Running Shoes,First Party
c_cvf,Tennis Shoes,First Party
c_cvl,Fashion > Comfortable Clothes,First Party
c_cvn,Sports Bra,First Party
c_cvo,Men Joggers,First Party
c_cvp,Fashion > Women and Men > Accessories ,First Party
c_lj,Athleisure Keywords,Frist Party
c_lm,Looking for new workout routines,Frist Party
c_lo,Intense Workout Sessions,Frist Party
16588,Chill Burger Homepage Visits,Retargeting
17171,Chill Burger - 50% Video Completion,Retargeting
17172,Chill Burger - 75% Video Completion,Retargeting
17173,Chill Burger - 100% Video Completion,Retargeting
15609,Newly Balanced- Homepage Visits ,Retargeting
15610,Newly Balanced- Purchase,Retargeting
c_clb,ABC Data - Chill Burger Competitors,Third Party
c_clc,ABC Data - Chill Burger Customers,Third Party
c_clf,ABC Data - Fast Food Customers (30 Days),Third Party
c_clg,ABC Data - Food Delivery Customers (90 Days),Third Party
c_clj,RGB Data - Burger Fanatic,Third Party
c_cu0,XYZ Data - Likely to dine out,Third Party
c_cyu,XYZ Data - Likely to visit fast food restaurants,Third Party
c_cyw,XYZ Data - Likely to order food delivery,Third Party
c_cyx,XYZ Data - Likely to try new restaurants,Third Party
c_2wz,ABC Data > Weight Loss,Third Party
c_3K1,ABC Data > Aged 18-24,Third Party
c_54g,XYZ Data > Basketball,Third Party
c_5jM,XYZ Data > Athleisure Shoppers (Web),Third Party
c_5pS,XYZ Data > Home Workouts,Third Party
c_5YE,"XYZ Data > Newly Balanced clothing, shoes, accessories and athleisure",Third Party
c_6nz,ABC Data > Newly Balanced Customers (last 90 days),Third Party
c_ad3,ABC Data > Newly Balanced Competitors,Third Party
c_aiA,ABC Data > Athletically Inclined (Very),Third Party
c_aiB,AVX Data > Seeking New Workout Equipment,Third Party
c_aiC,AVX Data > Seeking New Workout Regimes ,Third Party
c_b7O,AVX Data > Likely to visit gyms,Third Party
c_b7P,AVX Data > Likely to purchase gym equipment,Third Party
c_b7R,AVX Data > Fitness Enthusiasts ,Third Party
c_b7S,AVX Data > Golf Enthusiasts ,Third Party
c_b7T,AVX Data > Interested in Athleisure Clothing,Third Party
c_b7U,BBC Data > Newly Balanced Customers (last 30 days),Third Party
c_b7V,BBC Data > Likely to purchase gym clothes,Third Party
c_b7W,BBC Data > Likely to partake in yoga,Third Party
c_b7X,BBC Data > Likely to partake in basketball,Third Party
c_clj,BBC Data > Likely to partake in outdoor sports,Third Party
